ticker,sector,year,revenue_m,rev_growth_pct,gross_profit_m,gross_margin_pct,operating_income_m,net_income_m,eps_diluted,operating_cf_m,free_cash_flow_m,capex_m,total_debt_m,stockholders_equity_m,debt_equity,roe_pct,market_cap_m,pe_ratio,dividend_yield_pct
AEP,Utilities,2015,14813.5,-0.0088,,,2822.5,,3.04,4096.2,4064.2,32.0,19858.4,16820.2,1.181,,19616.53,13.3,0.64
AEP,Utilities,2016,16378.6,0.1057,,,3127.4,,3.34,4602.4,4537.6,64.8,20372.7,17891.7,1.139,,22044.82,13.5,0.6037
AEP,Utilities,2017,16453.2,0.0046,,,3333.5,,4.17,,,5.3,21969.4,17397.0,1.263,,26758.74,13.1,0.5255
AEP,Utilities,2018,16380.1,-0.0044,,,1163.9,,1.24,,,107.9,22811.9,18287.0,1.247,,28265.95,46.4,0.5279
AEP,Utilities,2019,15424.9,-0.0583,,,3525.0,,3.88,4270.4,4270.4,0.0,25256.7,19028.4,1.327,,36916.53,19.3,0.4332
AEP,Utilities,2020,16195.7,0.05,,,2682.7,,3.9,5223.2,5223.2,0.0,29563.8,19632.2,1.506,,33655.88,17.5,0.499
AEP,Utilities,2021,15561.4,-0.0392,,,2592.3,,3.88,4270.1,4270.1,,29204.8,20550.9,1.421,,37320.18,19.5,0.4762
AEP,Utilities,2022,14918.5,-0.0413,,,2987.7,,4.42,3832.9,3832.9,,36068.5,22433.2,1.608,,41363.03,18.9,0.4559
AEP,Utilities,2023,16792.0,0.1256,,,3411.3,,4.96,3839.9,3839.9,,40913.2,23893.4,1.712,,37179.76,15.0,0.5444
AEP,Utilities,2024,19639.5,0.1696,,,3482.7,,4.49,5288.0,5288.0,,42973.4,25246.7,1.702,,44933.24,19.6,0.488
AEP,Utilities,2025,21876.0,,,,5319.0,3580.0,6.66,6944.0,,,47322.0,31138.0,1.5198,11.4972,,,
AEP,Utilities,2026,,,,,,,,,,,,,,,,,0.1791
AES,Other,2011,13110.0,,3357.0,0.2561,,658.0,0.98,2211.0,-309.0,2520.0,,6473.0,,0.1017,5879.21,7.6,
AES,Other,2012,15443.0,0.178,3820.0,0.2474,,9.0,0.01,3465.0,1155.0,2310.0,,5946.0,,0.0015,5181.72,677.2,0.0709
AES,Other,2013,16098.0,0.0424,4040.0,0.251,,58.0,0.07,2884.0,454.0,2430.0,,4569.0,,0.0127,6922.38,132.9,0.2064
AES,Other,2014,17164.0,0.0662,3583.0,0.2088,,-912.0,-1.21,2901.0,793.0,2108.0,,4330.0,,-0.2106,6468.43,-7.4,0.2681
AES,Other,2015,15891.0,-0.0742,3247.0,0.2043,,114.0,0.15,2715.0,727.0,1988.0,,4272.0,,0.0267,4524.09,42.9,0.7468
AES,Other,2016,16124.0,0.0147,2980.0,0.1848,,769.0,1.06,1791.0,-225.0,2016.0,,,,,5416.9,7.7,0.65
AES,Other,2017,11260.0,-0.3017,2663.0,0.2365,,306.0,0.44,2134.0,-174.0,2308.0,,2794.0,,0.1095,5210.93,18.0,0.7286
AES,Other,2018,10281.0,-0.0868999999999999,2383.0,0.2318,,-1130.0,-1.72,2897.0,552.0,2345.0,,2465.0,,-0.4584,7257.52,-6.4,0.5678
AES,Other,2019,10530.0,0.0242,2465.0,0.2341,,-1161.0,-1.76,2504.0,327.0,2177.0,,3208.0,,-0.3619,10347.1,-8.9,0.4209000000000001
AES,Other,2020,10736.0,0.0196,2573.0,0.2397,,1203.0,1.81,2343.0,222.0,2121.0,,2996.0,,0.4015,12670.26,10.5,0.3597
AES,Other,2021,10189.0,-0.051,2349.0,0.2305,,303.0,0.45,2466.0,61.0,2405.0,,2634.0,,0.115,13452.24,44.9,0.3585
AES,Other,2022,9660.0,-0.0519,2693.0,0.2788,,46.0,0.07,2755.0,855.0,1900.0,,2798.0,,0.0164,16404.79,351.5,0.3083
AES,Other,2023,11141.0,0.1533,2711.0,0.2433,,-409.0,-0.61,1902.0,-214.0,2116.0,,2437.0,,-0.1678,11372.83,-27.9,0.4685
AES,Other,2024,12617.0,0.1325,2548.0,0.2019,,-546.0,-0.82,2715.0,-1836.0,4551.0,,2488.0,,-0.2195,7927.47,-14.4,0.7015
AES,Other,2025,12233.0,,2211.0,18.0741,,910.0,1.26,4306.0,-1623.0,5929.0,,4063.0,,22.3972,,,
AES,Other,2026,,,,,,,,,,,,,,,,,0.2876
AFL,Financials,2011,18254.0,,,,3435.0,1497.0,3.19,6161.0,6161.0,,,8417.0,,0.1779,7152.34,4.8,0.4835
AFL,Financials,2012,20732.0,0.1358,,,3983.0,2328.0,4.92,6989.0,6989.0,,,10540.0,,0.2209,9060.03,3.9,0.4168
AFL,Financials,2013,22171.0,0.0694,,,4502.0,1937.0,4.12,10842.0,10842.0,,,12946.0,,0.1496,11595.41,6.0,0.3426
AFL,Financials,2014,25364.0,0.144,,,4658.0,2866.0,6.11,14952.0,14952.0,,,15978.0,,0.1794,10904.46,3.8,0.3861
AFL,Financials,2015,23939.0,-0.0562,,,4399.0,3158.0,6.76,10547.0,10547.0,,,14620.0,,0.216,10766.69,3.5,0.4045
AFL,Financials,2016,22728.0,-0.0506,,,4253.0,2951.0,6.5,6550.0,6550.0,,,18347.0,,0.1608,12349.57,4.3,0.3568
AFL,Financials,2017,20872.0,-0.0817,,,4001.0,2533.0,5.85,6776.0,6776.0,,,17708.0,,0.143,15283.16,6.2,0.2899
AFL,Financials,2018,22559.0,0.0808,,,4117.0,2659.0,3.21,5987.0,5987.0,,,20482.0,,0.1298,31041.85,11.9,0.3263
AFL,Financials,2019,21667.0,-0.0395,,,4087.0,4604.0,5.77,6128.0,6128.0,,,20482.0,,0.2248,35407.9,7.9,0.2858
AFL,Financials,2020,21758.0,0.0042,,,4354.0,2920.0,3.77,6014.0,6014.0,,,24598.0,,0.1187,29588.63,10.4,0.3431
AFL,Financials,2021,22307.0,0.0252,,,4461.0,3304.0,4.43,5455.0,5455.0,,,23462.0,,0.1408,38309.26,11.9,0.3005
AFL,Financials,2022,22147.0,-0.0072,,,4416.0,4778.0,6.67,5958.0,5958.0,,,28959.0,,0.165,46139.12,10.0,0.2882
AFL,Financials,2023,21554.0,-0.0268,,,,4231.0,6.25,5051.0,5051.0,,,33559.0,,0.1261,50997.06,12.5,0.2578
AFL,Financials,2024,19140.0,-0.112,,,,4418.0,6.93,3879.0,3879.0,,,17031.0,,0.2594,61625.87,14.5,0.2396
AFL,Financials,2025,17164.0,,,,,3646.0,6.82,2555.0,,,,29490.0,,12.3635,,,
AFL,Financials,2026,,,,,,,,,,,,,,,,,0.1292
AIG,Financials,2011,75447.0,,,,,-10949.0,,18584.0,18584.0,,73400.0,85319.0,0.86,-0.1283,,,5.9736
AIG,Financials,2012,72829.0,-0.0347,,,,10058.0,,16597.0,16597.0,,75253.0,101538.0,0.741,0.0991,,,
AIG,Financials,2013,65105.0,-0.1061,,,,20622.0,11.01,-81.0,-2932.0,2851.0,48500.0,98002.0,0.495,0.2104,,3.5,0.0623
AIG,Financials,2014,71214.0,0.0938,,,,3438.0,2.04,3676.0,944.0,2732.0,41693.0,100470.0,0.415,0.0342,,20.9,0.1406
AIG,Financials,2015,68874.0,-0.0329,,,,9085.0,6.13,5865.0,4033.0,1832.0,31217.0,106898.0,0.292,0.085,70483.8,7.8,0.2036
AIG,Financials,2016,64406.0,-0.0649,,,,7529.0,5.2,5007.0,3285.0,1722.0,29249.0,89658.0,0.326,0.084,75283.25,9.9,0.2987
AIG,Financials,2017,58327.0,-0.0944,,,,2196.0,1.65,2877.0,1758.0,1119.0,30912.0,76300.0,0.405,0.0288,65871.53,29.0,0.3208
AIG,Financials,2018,52367.0,-0.1022,,,,-849.0,-0.78,3502.0,3019.0,483.0,31640.0,65171.0,0.485,-0.013,38689.79,-41.5,0.474
AIG,Financials,2019,49520.0,-0.0544,,,,-6084.0,-6.54,-7818.0,-8186.0,368.0,34540.0,56361.0,0.613,-0.1079,43184.48,-6.6,0.354
